"Einkommen","Armut","Bildung","WenigRaum","Umwelt","Lesen","Geburtsgewicht","Säuglsterblichkeit","Sterblichkeit","Selbstmord","Bewegung","Rauchen","Alkohol","Jugendschwanger","Bullying","Schule"
"Australien",20.8,11.8,2.2,19.7,10.5,520,6.4,5,23.7,8.5,"NA","NA","NA",14.3,"NA","NA"
"Österreich",22.2,6.2,0.6,34,20.2,502,6.8,4.2,24.6,9.5,19.6,27.1,18.6,12.3,15.6,38.1
"Belgien",21.4,10,1,12.6,29.8,510.3,7.8,3.7,29,9,19.1,16.7,13.9,7.8,12.2,21.6
"Kanada",25.6,15.1,2.1,"NA","NA",529.3,5.9,5.3,23.4,10,23.6,8.6,18.8,13.2,14,29.5
"Tschechien",10.8,10.3,1.2,58.9,29.7,502,6.7,3.4,24.9,6.2,22,21.5,16.8,11.4,5.5,11.7
"Dänemark",23.2,2.7,0.7,17.6,20.2,501,4.9,4.4,22.9,5.9,22.7,15,24.8,6.6,8,25.6
"Finnland",22,4.2,1,15.2,22.8,552.7,4.1,3,23.5,12.2,24.8,22,22.4,9.7,8,16.1
"Frankreich",19,7.6,1.2,20.3,25.8,493,6.8,3.6,21,4.9,13.5,19,11.2,6.7,13.6,21.4
"Deutschland",19.9,16.3,0.5,20,37.4,505,6.8,3.9,21.2,5.5,17,19.5,15.1,9.8,13.9,34.9
"Griechenland",17.2,13.2,6.1,54.9,25.1,464,8.8,3.8,23.2,1.3,15.5,16.5,10.3,8.7,22,25.6
"Ungarn",9.5,8.7,2.1,73.3,22.2,492.3,8.2,6.2,25.8,6.8,19.5,21.5,17.7,20.7,6.6,27.6
"Island",22.3,8.3,0.4,21.7,15.5,493.7,3.9,2.3,17,7.8,20.6,13.5,10.5,16.9,5.4,36.6
"Irland",22.4,16.3,2.9,16.4,19.3,508.7,4.9,4,22,9.5,31.1,19.5,16.3,13.5,8.6,24
"Italien",17.2,15.5,1.2,47.9,32.6,468.7,6.7,4.7,21.8,2.4,15.1,20,10,6.8,7.9,12.8
"Japan",22.5,13.7,5.6,22.5,32.4,517.3,9.5,2.8,18.2,7.7,"NA","NA","NA",3.7,"NA","NA"
"Korea",21.7,10.7,1.8,"NA","NA",541.7,4.3,5.3,22.4,6.8,"NA","NA","NA",3.7,"NA","NA"
"Luxemburg",34.2,12.4,1.1,16.9,25.6,485,4.9,2.6,14.8,6.4,15.2,19,11.7,8.6,13.8,20.7
"Mexiko",5.3,22.2,13.7,69.6,"NA",408.7,8.8,18.8,50.2,5.1,18.1,"NA","NA",65.8,"NA","NA"
"Niederlande",25,11.5,0.6,10.3,38.7,521,6.2,4.9,20.5,3.5,21.2,18.5,12.1,4.7,8.5,39.7
"Neuseeland",17.2,15,2.2,31,"NA",524.3,6.1,5.1,32.1,15.9,"NA","NA","NA",23.4,"NA","NA"
"Norwegen",28.6,4.6,1.3,15.1,12,487,4.8,3.1,21.5,10.1,15.6,10.4,14,9.4,8.3,41.7
"Polen",7.9,21.5,2.1,74,22.8,500.3,6.1,6.4,28.1,8.9,17.3,16.4,19.9,14.5,9.6,21.1
"Portugal",13.8,16.6,1.4,32,33.5,470.7,7.5,3.5,34.6,2.4,14.6,10.6,10.9,18.1,14.1,22.8
"Slovakei",7.8,10.9,3.8,68.4,27.3,482,7.2,7.2,30.2,5,42.1,16.4,16.8,20,"NA",13
"Spanien",16.4,17.3,0.9,10.8,31.7,476.3,7.1,4.1,23.5,2.6,20.3,17.1,16.1,9.1,4.7,23.9
"Schweden",19.9,4,1.6,20,15.7,504,4.2,2.4,19.3,6.8,16.4,8.5,13.8,6.8,4.2,24.1
"Schweitz",24.7,9.4,0.7,"NA","NA",513.7,7,4.2,20.3,7.3,13.1,15,11.4,4.5,12.1,27.3
"Türkei",5.1,24.6,13.6,"NA","NA",431.7,11.3,23.6,"NA","NA",20,"NA","NA",39.7,25.3,57.4
"VereinigtesKönigreich",22.7,10.1,1.8,21.5,29.1,501.7,7.5,5.1,21.2,3,18.7,15.9,22.1,24.8,9.7,35.7
"USA",29.2,20.6,4.8,26.2,25.4,481.5,1.7,6.8,32.7,7.7,26.8,8.1,10.2,49.8,11.9,26.4
